Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy
1.0,0.9469026548672567,0.9906542056074766,0.16666666666666666,0.5786604361370716
2.0,0.9469026548672567,1.0,0.0,0.5
3.0,0.9646017699115044,1.0,0.2,0.6
4.0,0.9469026548672567,1.0,0.0,0.5
5.0,0.9292035398230089,1.0,0.0,0.5
6.0,1.0,1.0,0.0,0.5
7.0,0.9380530973451328,1.0,0.0,0.5
8.0,0.9469026548672567,1.0,0.0,0.5
9.0,0.9292035398230089,1.0,0.0,0.5
10.0,0.9734513274336283,0.990990990990991,0.0,0.4954954954954955
11.0,0.9823008849557522,0.9910714285714286,0.0,0.4955357142857143
12.0,0.911504424778761,1.0,0.0,0.5
13.0,0.9469026548672567,1.0,0.0,0.5
14.0,0.9646017699115044,1.0,0.0,0.5
15.0,0.9469026548672567,1.0,0.0,0.5
16.0,0.9734513274336283,1.0,0.25,0.625
17.0,0.9469026548672567,1.0,0.0,0.5
18.0,0.9203539823008849,0.9904761904761905,0.0,0.49523809523809526
19.0,0.9557522123893806,1.0,0.16666666666666666,0.5833333333333334
20.0,0.9557522123893806,1.0,0.0,0.5
Mean,0.9513274336283185,0.9981596407823042,0.03916666666666667,0.5186631537244855
,,,,
1.0,0.8407079646017699,0.8411214953271028,0.8333333333333334,0.8372274143302181
2.0,0.8849557522123894,0.8785046728971962,1.0,0.9392523364485981
3.0,0.9026548672566371,0.9074074074074074,0.8,0.8537037037037037
4.0,0.8672566371681416,0.8598130841121495,1.0,0.9299065420560748
5.0,0.8849557522123894,0.8761904761904762,1.0,0.9380952380952381
6.0,0.911504424778761,0.911504424778761,0.0,0.4557522123893805
7.0,0.8849557522123894,0.8962264150943396,0.7142857142857143,0.805256064690027
8.0,0.8849557522123894,0.8785046728971962,1.0,0.9392523364485981
9.0,0.911504424778761,0.9238095238095239,0.75,0.8369047619047619
10.0,0.831858407079646,0.8378378378378378,0.5,0.6689189189189189
11.0,0.8584070796460177,0.8571428571428571,1.0,0.9285714285714286
12.0,0.911504424778761,0.941747572815534,0.6,0.770873786407767
13.0,0.9292035398230089,0.9345794392523364,0.8333333333333334,0.8839563862928349
14.0,0.8938053097345132,0.908256880733945,0.5,0.7041284403669725
15.0,0.8495575221238938,0.8504672897196262,0.8333333333333334,0.8419003115264798
16.0,0.8495575221238938,0.8532110091743119,0.75,0.801605504587156
17.0,0.831858407079646,0.822429906542056,1.0,0.9112149532710281
18.0,0.8495575221238938,0.8666666666666667,0.625,0.7458333333333333
19.0,0.911504424778761,0.9158878504672897,0.8333333333333334,0.8746105919003115
20.0,0.831858407079646,0.8333333333333334,0.8,0.8166666666666667
Mean,0.8761061946902655,0.8797321408099974,0.7686309523809525,0.8241815465954747
